geGloss|geSentence|viSentence
TIEF WOLKE HEUTE NACHT DEUTSCH NORD PUNKT SUED KOMMEN PUNKT|das wolkenband eines tiefausläufers überquert heute nacht deutschland richtung südosten|Ban nhạc đám mây của một cuộc chạy sâu -hạ gục Đức tối nay về phía đông nam
SAMSTAG SONNTAG DANN NORDWEST AUCH SCHWACH TIEF NEG VIEL NEG REGEN NEGALP AUCH NEG NICHTS|am wochenende folgen von nordwesten weitere schwache tiefausläufer die auch nicht viel regen bringen|Vào cuối tuần, những người chạy sâu sâu hơn đi theo từ Tây Bắc, những người không mang nhiều mưa
WIND MEHR PUNKT MOEGLICH BOEE MOEGLICH ORKAN|aber der wind legt noch zu und kann an der ostsee in böen orkanstärke erreichen|Nhưng gió vẫn tăng lên và có thể đạt đến sức mạnh bão trên Biển Baltic ở những cơn gió mạnh
HEUTE NACHT WOLKE MEHR REGION KOMMEN BISSCHEN REGEN BAYERN PUNKT ORT MOEGLICH|heute nacht verlagert sich das wolkenband nach südosten hier und da fällt ein wenig regen der vor allem in bayern örtlich gefrieren kann|Tối nay, ban nhạc đám mây chuyển sang phía đông nam ở đây và có một chút mưa có thể đóng băng tại địa phương, đặc biệt là ở Bavaria
ORT KALT SUED TRUEB ANFANG MAL SONNE WOLKE SONNE TAG MEISTENS TROCKEN|im süden beginnt der tag teilweise trübe sonst gibt es mal wolken mal sonne und es bleibt meist trocken|Ở miền Nam, ngày bắt đầu một phần mây nếu không có những đám mây và nó thường ở lại khô
TAG PUNKT NORD WOLKE KRAEFTIG WOLKE BISSCHEN REGEN|im tagesverlauf werden die wolken im norden wieder dichter und bringen etwas regen|Trong suốt cả ngày, những đám mây ở phía bắc trở nên dày đặc hơn và mang lại mưa
SCHWACH MAESSIG NORD FRISCH MEISTENS STURM PUNKT NORD SEE PUNKT STURM SCHWER STURM|schwacher bis mäßiger im norden frischer bis starker südwestwind mit stürmischen böen an der see teilweise schwere sturmböen|Gió Tây Nam từ yếu đến trung bình đến mạnh mẽ với những cơn bão bão trên hồ, một số trong số chúng là những cơn gió mạnh
SUED NACHT FROST PUNKT INSEL PLUS ACHT GRAD|im süden heute nacht wieder frostig auf den nordfriesischen inseln bis plus acht grad|Ở miền Nam tối nay một lần nữa trên Quần đảo Bắc Frisian cộng với tám độ
NORD WIND STURM NORD ORKAN|in der nordhälfte sehr windig mit sturmböen an der ostsee auch orkanböen|Ở phía bắc nửa gió rất gió với những cơn gió trên biển Baltic cũng cơn gió mạnh
MONTAG RUHIG TROCKEN NEBEL SONNE WOLKE|die neue woche bringt dann eine ruhige und trockene mischung aus nebel sonne und wolken|Tuần mới sau đó mang đến một hỗn hợp bình tĩnh và khô của mặt trời sương mù và những đám mây
JETZT WETTER WIE AUSSEHEN MORGEN FREITAG DREIZEHN AUGUST|und nun die wettervorhersage für morgen freitag den dreizehnten august|Và bây giờ dự báo thời tiết cho ngày mai thứ Sáu, ngày mười ba tháng 8
SUEDOST KOENNEN LANG REGEN KOENNEN DURCH AUCH MOEGLICH WIND REGEN KOENNEN|im osten und südosten deutschlands muss deshalb mit teilweise langanhaltenden und ergiebigen regenfällen gerechnet werden|Do đó, ở phía đông và đông nam nước Đức phải được dự kiến với những cơn mưa dài một phần và năng suất
JETZT WARNUNG|es bestehen entsprechende unwetterwarnungen des deutschen wetterdienstes|Có những cảnh báo thời tiết khắc nghiệt tương ứng của Dịch vụ thời tiết Đức
NACHT OST REGEN KOENNEN ORT DANN GEWITTER DABEI|schon in der nacht fällt in der osthälfte gebietsweise kräftiger regen örtlich auch mit blitz und donner|Đã vào ban đêm ở nửa phía đông của nửa phía đông, mưa lớn cũng rơi xuống địa phương với sét và sấm sét
WEST ANFANG REGEN DANN WOLKE HIMMEL STERN KOENNEN SEHEN|richtung westen anfangs noch einige schauer dann teils wolkig teils klar|Lúc đầu, một số vòi hoa sen ở phía tây, đôi khi một phần rõ ràng
ABER NEBEL KOENNEN|hier und da bildet sich nebel|Ở đây và có các hình thức sương mù
TAG SUEDOST REGEN KOENNEN GEWITTER REGION SONNE WOLKE REGEN WECHSELHAFT|auch am tag im osten und südosten zum teil kräftige regenfälle mit einzelnen gewittern sonst gibt es mal sonne mal wolken ab und zu auch ein paar schauer|Ngay cả vào ngày ở phía đông và đông nam, một số cơn mưa với những cơn giông cá nhân, nếu không có ánh nắng mặt trời
MEISTENS WIND SCHWACH WEHEN|meist weht ein schwacher wind aus unterschiedlichen richtungen|Thông thường một cơn gió yếu thổi từ các hướng khác nhau
HEUTE NACHT SIEBZEHN GRAD PUNKT BERG PUNKT ACHT GRAD|in der uckermark heute nacht bis siebzehn in der eifel nur acht grad|Trong uckermark tối nay cho đến mười bảy ở Eifel chỉ tám độ
MORGEN REGEN PUNKT ZWANZIG GRAD FLUSS FUENF ZWANZIG GRAD|morgen im dauerregen unter zwanzig am main sommerliche fünfundzwanzig grad|Ngày mai trong cơn mưa liên tục dưới hai mươi trên các cấp độ thứ năm mùa hè chính
WOCHENENDE MEHR WOLKE SONNE KAUM JETZT REGEN ODER GEWITTER KOENNEN TEILWEISE REGEN|auch am wochenende meist mehr wolken als sonne gebietsweise gibt es schauer oder gewitter zum teil fällt auch kräftiger regen|Ngay cả vào cuối tuần, thậm chí nhiều mây hơn mặt trời, có một phần tắm hoặc giông bão, cũng có mưa lớn
NAECHSTE WOCHE WECHSELHAFT|wechselhaft geht es dann auch in die neue woche|Tuần mới có thể thay đổi
JETZT WETTER WIE AUSSEHEN MORGEN DIENSTAG EINS ZWANZIG MAERZ ZEIGEN BILDSCHIRM|und nun die wettervorhersage für morgen dienstag den einundzwanzigsten märz|Và bây giờ dự báo thời tiết cho ngày mai thứ ba tháng ba hai mươi
MITTE WEST EUROPA REGION HOCH KOMMEN IN KOMMEND SONNE WETTER|das hoch über mittel und westeuropa sorgt bei uns in deutschland auch in den kommenden tagen für meist sonniges wetter|Cao trên trung và Tây Âu cũng sẽ đảm bảo thời tiết nắng ở Đức ở Đức, ngay cả trong những ngày tới
TEMPERATUR STEIGEN DONNERSTAG SUEDWEST BIS ZWANZIG GRAD KOENNEN|die temperaturen steigen allmählich an so dass am donnerstag im südwesten bis zu zwanzig grad möglich sind|Nhiệt độ tăng dần để có thể lên đến hai mươi độ vào thứ năm ở Tây Nam
NACHT KLAR HIMMEL STERN SEHEN NORD NUR WOLKE PUNKT REGEN NORD|die nacht verläuft meist klar im norden teilweise dichte wolken aus denen es vereinzelt etwas nieseln kann|Đêm thường chạy rõ ràng ở phía bắc, đôi khi những đám mây dày đặc mà từ đó nó có thể nghiền nát thứ gì đó thỉnh thoảng
TAG SONNE TYPISCH MAERZ WETTER PUNKT WOLKE NORD KOENNEN WOLKE STARK KOENNEN|morgen am tag wieder sonniges märzwetter hier und da ein paar schleierwolken über dem norden halten sich teilweise dichte wolken|Ngày mai trong ngày, những bậc thầy đầy nắng ở đây và có một vài đám mây che mặt ở phía bắc là một phần những đám mây dày đặc
WIND LEICHT DREHEN MEER NORD MAESSIG FRISCH|der wind weht schwach aus unterschiedlichen richtungen am meer mäßiger bis frischer wind|Gió thổi yếu từ các hướng khác nhau của biển vừa phải đến gió mới
NACHT NORD VIER GRAD MINUS SECHS BERG PUNKT|heute nacht vier grad im norden und minus sechs grad an den alpen|Tối nay bốn độ ở phía bắc và trừ sáu độ trên dãy Alps
TAG SIEBZEHN GRAD KOELN WEST SIEBEN GRAD NORD|am tag siebzehn grad im raum köln und sieben grad an der ostsee|Vào ngày mười bảy độ trong khu vực Cologne và bảy độ trên Biển Baltic
WIE AUSSEHEN IN KOMMEND MITTWOCH VIEL SONNE NORDOST KLAR WOLKE|die aussichten auch am mittwoch viel sonnenschein in der nordosthälfte hier und da wolken|Triển vọng cũng vào thứ Tư, rất nhiều ánh nắng mặt trời ở nửa phía đông bắc của những đám mây ở đây và ở đó
DONNERSTAG PUNKT TYPISCH FRUEHLING PUNKT NORD NORDOST KOENNEN WOLKE|auch am donnerstag frühlingshaftes wetter im norden und nordosten ist es allerdings wolkig|Ngay cả vào ngày thứ Năm -thời tiết giống như mùa xuân ở phía bắc và đông bắc, nó có mây
FREITAG AUCH SUED VIEL SONNE NORD KOENNEN WOLKE NORD KOENNEN REGEN|auch am freitag in der südhälfte viel sonne sonst neben sonne einige wolken im norden vereinzelt regen|Ngay cả vào thứ Sáu ở nửa phía nam, rất nhiều mặt trời nếu không một vài đám mây ở phía bắc của mưa.
FREITAG ZUERST NORD BISSCHEN KALT|am freitag wird es zunächst im norden kälter|Vào thứ sáu, nó sẽ lạnh hơn ở phía bắc
JETZT WETTER FUER MORGEN DIENSTAG VIER ZWANZIG AUGUST WIE AUSSEHEN ZEIGEN BILDSCHIRM|und nun die wettervorhersage für morgen dienstag den vierundzwanzigsten august|Và bây giờ dự báo thời tiết cho ngày mai thứ ba
NORD TIEF A HOCH REGION KOMMEN KUEHL KOMMEN|zwischen dem tief im norden und dem azorenhoch fließt kühle meeresluft heran|Không khí biển mát mẻ chảy lên giữa sâu ở phía bắc và Azores cao
WEST NORD PUNKT AUFLOCKERUNG KUESTE WEITER REGEN KOENNEN|richtung westen und norden lockern die wolken teilweise auf in küstennähe sind aber weiterhin schauer unterwegs|Ở phía tây và phía bắc, những đám mây nới lỏng một phần gần bờ biển
TAG NORD WOLKE BEWOELKT KOENNEN REGEN SUED TRUEB KOENNEN REGEN UND GEWITTER|am tag im norden wolkig mit örtlichen schauern auch im süden ziemlich trübe dabei entwickeln sich schauer und einzelne gewitter|Vào ngày ở phía bắc mây với mưa rào địa phương, ngay cả ở miền Nam, phát triển khá nhiều mây và những cơn giông cá nhân phát triển
ZWISCHEN ZONE FREUNDLICH SONNE BEWOELKT MISCHUNG|dazwischen gibt es eine meist freundliche mischung aus sonne und wolken|Ở giữa có một sự pha trộn hầu hết các mặt trời và mây thân thiện
WIND MAESSIG FRISCH REGION PUNKT NORD STARK WIND WEHEN KOENNEN|der wind bläst mäßig bis frisch im norden stark aus west bis südwest besonders an der küste sturmböen|Gió thổi vừa phải đến tươi ở phía bắc từ tây sang tây nam, đặc biệt là trên bờ biển, cơn bão bão
OST HEUTE NACHT ACHTZEHN GRAD WEST ELF GRAD|im osten und süden heute nacht bis achtzehn im westen örtlich nur elf grad|Ở phía đông và phía nam tối nay cho đến mười tám ở phía tây chỉ có mười một độ
NORD SEE MORGEN SIEBZEHN GRAD FLUSS DOCH BLEIBEN FUENF ZWANZIG GRAD|an der nordsee morgen frische siebzehn am oberrhein noch sommerliche fünfundzwanzig grad|Trên Biển Bắc, mười bảy tươi ở Thượng Rhine, mùa hè hai mươi độ
MITTWOCH DONNERSTAG NORD BLEIBEN KUEHL MEISTENS WOLKE KOENNEN REGEN WIND KOENNEN|mittwoch und donnerstag bleibt es im norden recht kühl und meist wolkig gebietsweise wird es auch nass und windig|Thứ Tư và Thứ Năm, nó vẫn khá mát mẻ ở phía bắc và chủ yếu là mây nó bị ướt và gió
FREITAG REGION WECHSELHAFT KOENNEN WIND|am freitag überall wechselhaft und teilweise sehr windig|Ở mọi nơi vào thứ sáu có thể thay đổi và đôi khi rất gió
DANN WETTER WIE AUSSEHEN MORGEN MONTAG SECHSTE JULI|und nun die wettervorhersage für morgen montag den sechsten juli|Và bây giờ dự báo thời tiết cho ngày mai thứ Hai, thứ sáu tháng 7
ENGLAND PUNKT KALT GRENZE ANKOMMEN DEUTSCHLAND GRENZE LOS REGEN GEWITTER|die kaltfront eines tiefs über englands erreicht heute nacht den westen deutschlands begleitet von zum teil kräftigen schauern und gewittern|Mặt trận lạnh lẽo của nước Anh đến phía tây nước Đức tối nay của những cơn mưa rào mạnh mẽ một phần
LAND LUFT KUEHL DESHALB WETTER UEBERWIEGEND WECHSELHAFT|dahinter folgt kühlerer atlantikluft in der sich das wetter recht wechselhaft gestaltet|Tiếp theo là một không khí Đại Tây Dương mát mẻ trong đó thời tiết khá dễ thay đổi
OST HEUTE NACHT KLAR KAUM STURM|im nordosten und osten klart es heute nacht teilweise auf und es fallen kaum noch schauer|Ở phía đông bắc và phía đông, một phần rõ ràng tối nay và hầu như không còn vòi hoa sen nào
SUED REGEN POSITION BLITZ DONNER|die gibt es im süden aber noch reichlich örtlich mit blitz und donner|Ở phía nam vẫn còn rất nhiều đèn flash và sấm sét địa phương
GLEICH SCHAUER GEWITTER|gleichzeitig breiten sich von westen neue mitunter kräftige schauer und gewitter aus|Đồng thời, vòi hoa sen và giông bão mới đang lan rộng từ phương Tây
MORGEN GEWITTER AUFZIEHEN|morgen verlagern sich die schauer in die osthälfte|Ngày mai những cơn mưa rào chuyển đến nửa phía đông
SPEZIELL SUED UEBERWIEGEND GEWITTER WEST MAL WOLKE SONNE MAL WOLKE EINIGE SCHAUER|vor allem im südosten können sich heftige gewitter bilden in der westhälfte gibt es dann mal sonne mal wolken mit ein paar schauern|Đặc biệt ở phía đông nam, những cơn bão dữ dội có thể hình thành ở nửa phía tây chỉ có những đám mây mặt trời với một vài cơn mưa rào
WENN WIND REGEN WIND ANDERE MAESSIG|abgesehen von schauer und gewitterböen weht ein schwacher bis mäßiger wind aus west bis südwest|Ngoài vòi hoa sen và giông bão, một cơn gió yếu đến trung bình từ tây sang tây nam
MORGEN NEUNZEHN NORD MAXIMAL SIEBEN ZWANZIG REGION BERG PUNKT|morgen temperaturen von neunzehn grad an der nordsee bis siebenundzwanzig in der lausitz und im breisgau|Nhiệt độ ngày mai của mười chín độ trên Biển Bắc đến hai mươi -Seven ở Lausitz và ở Breisgau
MORGEN MEHR KUEHL WENIG|in den nächsten tagen kühlt es weiter ab|Trong vài ngày tới, nó sẽ tiếp tục hạ nhiệt
DONNERSTAG MAXIMAL VIERZEHN BIS VIER ZWEI ZWANZIG|am donnerstag nur noch höchstwerte zwischen vierzehn und zweiundzwanzig grad|Vào thứ năm, chỉ có mức tối đa từ mười bốn đến hai mươi độ
JETZT DAZU WOLKE VIEL WOLKE MAL SONNE WIEDER SCHAUER GEWITTER|dazu gibt es viele wolken gelegentlich sonnenschein und immer wieder schauer oder gewitter|Có nhiều đám mây thỉnh thoảng nắng và một lần nữa là mưa rào hoặc giông bão
JETZT WETTER VORAUS INFORMIEREN MORGEN MONTAG VIERZEHN MAERZ|und nun die wettervorhersage für morgen montag den vierzehnten märz|Và bây giờ dự báo thời tiết cho ngày mai thứ Hai, thứ mười bốn
WEST SUEDWEST EUROPA KOMMEN WOLKE DEUTSCH DEUTSCHLAND|das tief über südwesteuropa lenkt dichte wolken zu uns|Sâu hơn Tây Nam Âu hướng những đám mây dày đặc với chúng ta
NACHT AUCH WOLKE OST REGION NEG HABEN KOMMEN OST DASSELBE REST REGION AUCH ORT AUCH HABEN|in der nacht schließen sich auch die wolkenlücken im osten wie bereits zuvor in den anderen landesteilen|Trong đêm, những khoảng trống trên đám mây ở phía đông cũng đóng lại như trước ở các vùng khác của đất nước
NACHT REGEN AUCH MORGEN TAG AUCH REGEN UND BISSCHEN REGEN|und gebietsweise fällt sowohl in der nacht als auch am tag etwas regen oder sprühregen|Và ở một số người có một chút mưa hoặc mưa phùn cả vào ban đêm và vào ban ngày
TAG GANZTAGS SUED SUEDWEST MEHR KLAR KOMMEN REGEN SCHWACH MEHR NORD KOMMEN|im laufe des tages wird es von süden und südwesten freundlicher es lockert auf der regen wird schwächer und zieht sich nach norden zurück|Vào ban ngày, nó trở nên thân thiện hơn ở phía nam và tây nam, nó lỏng lẻo trên mưa và rút lui về phía bắc
WIND MAESSIG VERSCHIEDEN WEHEN|der wind weht schwach bis mäßig aus unterschiedlichen richtungen|Gió thổi yếu đến vừa phải từ các hướng khác nhau
HEUTE NACHT NEUN GRAD E FLUSS ACHT GRAD SUED BERG LAND PUNKT|heute nacht neun grad an der ems und drei grad im bergland|Chín độ trên EMS và ba độ ở đất nước núi tối nay
TAG EINS WERT KUESTE PUNKT SIEBZEHN GRAD FLUSS|am tag einstellige werte an den küsten siebzehn grad am oberrhein|Giá trị của Einner trên bờ biển mười bảy độ trên sông Rhine trong ngày
DIENSTAG DONNERSTAG NORD UND SUED OST BISSCHEN REGEN BISSCHEN MEHR KUEHL WEHEN KUESTE KALT STARK WEHEN|am dienstag im norden und osten dichte wolken und ein paar regentropfen dort wird es kühler und an den küsten weht ein lebhafter wind|Vào thứ ba ở phía bắc và phía đông những đám mây dày và một vài giọt mưa ở đó, nó trở nên mát mẻ hơn và một cơn gió mạnh mẽ trên bờ biển
SUEDWEST SONNE WOLKE WECHSELHAFT|im süden und westen mal sonne mal wolken|Ở phía nam và phía tây, mặt trời đã từng mây
MITTWOCH STARK WOLKE SUEDWEST REGION ABER REGEN NEG MILD NEG HABEN|am mittwoch ist es meist stark bewölkt im südosten kommt regen auf dabei ist es im süden und westen nicht mehr ganz so mild|Vào thứ Tư, trời thường rất nhiều mây trong mưa đông nam, nó không còn ôn hòa ở phía nam và phía tây
